area_avg|Área 1|50011.87
area_avg|Área 2|50077.08
area_max|Área 1|Achillea Bria|99999.86
area_max|Área 1|Alcibiades Aquilina|99999.86
area_max|Área 2|Affinity Andersdatter|99999.34
area_min|Área 1|Adinna Cervini|1.00
area_min|Área 2|Albion Porter|1.07
global_avg|50016.89
global_max|Achillea Bria|99999.86
global_max|Alcibiades Aquilina|99999.86
global_min|Adinna Cervini|1.00
last_name_max|Abaine|Alaqua Abaine|99967.89
last_name_max|Abate|Affera Abate|99885.02
last_name_max|Abato|Aldritch Abato|99984.60
last_name_max|Abaurre|Ahamad Abaurre|99977.73
last_name_max|Abbe|Africa Abbe|99910.25
last_name_max|Abbott|Allastair Abbott|99943.64
last_name_max|Abbruzzese|Abbott Abbruzzese|99857.45
last_name_max|Abbud|Alo Abbud|99943.63
last_name_max|Abecassis|Agosto Abecassis|99993.42
last_name_max|Abela|Adela Abela|99975.78
last_name_max|Abella|Abriann Abella|99888.09
last_name_max|Aboudib|Akiyama Aboudib|99853.17
last_name_max|Abramo|Achazia Abramo|99834.64
last_name_max|Abreu|Aki Abreu|99725.58
last_name_max|Abruzzese|Almeda Abruzzese|99794.59
last_name_max|Abruzzo|Alsonah Abruzzo|99946.80
last_name_max|Accardi|Agenta Accardi|99926.00
last_name_max|Accardo|Adrienah Accardo|99957.39
last_name_max|Accetta|Adrea Accetta|99992.37
last_name_max|Accomando|Allix Accomando|99878.00
last_name_max|Accordino|Allyse Accordino|99878.63
last_name_max|Aceto|Alekanekelo Aceto|99711.15
last_name_max|Acevedo|Alonzo Acevedo|99940.72
last_name_max|Achille|Adriennah Achille|99965.93
last_name_max|Acierno|Akosua Acierno|99989.26
last_name_max|Acord|Allan Acord|99905.53
last_name_max|Acosta|Alane Acosta|99826.05
last_name_max|Acquaviva|Adron Acquaviva|99902.98
last_name_max|Acquisto|Alisea Acquisto|99990.04
last_name_max|Acri|Alette Acri|99877.44
last_name_max|Acy|Alohi Acy|99882.78
last_name_max|Adami|Aldean Adami|99661.56
last_name_max|Adamo|Alixe Adamo|99974.56
last_name_max|Adams|Alida Adams|99867.75
last_name_max|Addonizio|Alfaeus Addonizio|99987.64
last_name_max|Adduci|Albany Adduci|99955.79
last_name_max|Adinolfi|Akamu Adinolfi|99934.66
last_name_max|Adkins|Aliceie Adkins|99966.08
last_name_max|Adornetto|Allegra Adornetto|99996.74
last_name_max|Adorno|Agaue Adorno|99832.39
last_name_max|Adragna|Addie Adragna|99902.27
last_name_max|Affinito|Adrean Affinito|99945.78
last_name_max|Agard|Addisen Agard|99769.56
last_name_max|Agee|Ainsley Agee|99951.50
last_name_max|Agen|Agata Agen|99905.82
last_name_max|Agent|Abbiah Agent|99899.51
last_name_max|Ager|Agnieszka Ager|99864.54
